Species,ID,TL,PCL,FL,Sex,Position,ToothNumber,TH,TW,BT,IDD,BG,MTW,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Carcharadon carcharias,CC-01,174,139.5,157.8,M,UR,1,16.48,11.63,,17.62,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Carcharadon carcharias,CC-01,174,139.5,157.8,M,UR,2,15.56,12.54,,7.59,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Carcharadon carcharias,CC-01,174,139.5,157.8,M,UR,3,10.2,10.65,,17.97,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Carcharadon carcharias,CC-01,174,139.5,157.8,M,UR,4,13.67,12.27,,22.95,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Carcharadon carcharias,CC-01,174,139.5,157.8,M,UR,5,13.86,11.83,,18.57,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Carcharadon carcharias,CC-01,174,139.5,157.8,M,UR,6,13.53,10.91,,15.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Carcharadon carcharias,CC-01,174,139.5,157.8,M,UR,7,10.91,7.86,,12.55,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Carcharadon carcharias,CC-01,174,139.5,157.8,M,UR,8,7.56,5.95,,10.41,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Carcharadon carcharias,CC-01,174,139.5,157.8,M,UR,9,5.02,4.87,,8.54,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Carcharadon carcharias,CC-01,174,139.5,157.8,M,UR,10,3.49,3.36,,4.09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Carcharadon carcharias,CC-01,174,139.5,157.8,M,UR,11,2.69,1.73,,3.92,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Carcharadon carcharias,CC-01,174,139.5,157.8,M,UR,12,1.5,1.47,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Carcharadon carcharias,CC-01,174,139.5,157.8,M,UL,1,16.57,10.35,,15.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Carcharadon carcharias,CC-01,174,139.5,157.8,M,UL,2,15.31,11.47,,9.63,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Carcharadon carcharias,CC-01,174,139.5,157.8,M,UL,3,10.44,12.13,,18.92,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Carcharadon carcharias,CC-01,174,139.5,157.8,M,UL,4,13.88,11.95,,17.85,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
